"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"CATEGORY";"COLOUR";"CONFIGURATION";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DIGI-KEY_PART_NO";"DIGIKEY_PART_NUMBER";"DIGIT";"DIGIT_HEIGHT";"FORWARD_CURRENT";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MPN";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PACKAGE";"PART_STATUS";"RATING";"REVERSE_VOLTAGE";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"SUBCATEGORY";"SUB_CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VALUE";"VENDOR";
"8";"";"LED_RADIALGREEN";"LEDGR254W60D565H860B_Y";"LDG1, LDG2, LDG3, LDG4, LDG5, LDG6, LDG7, LDG8";"LED - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"";"R_CHIP-0603(1608-METRIC)";"RESC1608X60";"R1, R2, R3, R4, R5, R6, R7, R8, R9";"Resistor Fixed - Generic";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";
"3";"1-1825006-5SWSO16_386X100P100-L";"1-1825006-5SWSO16_386X100P100-L";"SWSO16_386X100P100-L";"U1, U2, U3";"";"EMA_UL_Team";"DIP & SIP Switches";"";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"GDS08S04=DIP SW,SLIDE,SMT";"";"";"";"";"";"";"1-1825006-5";"";"";"";"";"";"active";"";"";"";"";"Alcoswitch DIP,Alcoswitch DIP GDS";"";"";"";"";"";"";"";"TE Connectivity";
"3";"2828XX-3282834-3";"2828XX-3282834-3";"TERMBLK_254-3N";"1-WIRE, ADC1, ADC2";"3 Position Wire to Board Terminal Block Horizontal with Board";"";"Connector";"";"";"";"";"TERM BLK 3P SIDE ENT 2.54mm PCB";"";"";"";"";"";"TE Connectivity";"";"";"282834-3";"";"-40°C to +105°C";"";"Active";"";"";"RoHS Compliant";"";"282834";"";"Terminal Block";"";"";"";"Side Wire Entry";"";"";
"2";"2828XX-4282837-4";"2828XX-4282837-4";"TERMBLK_508-4N";"I2C, UART";"4 Position Wire to Board Terminal Block Horizontal with Board";"";"Connector";"";"";"";"";"TERM BLK 4P SIDE ENT 5.08mm PCB";"";"";"";"";"";"TE Connectivity";"";"";"282837-4";"";"40°C to +105°C";"";"Active";"";"";"RoHS Compliant";"";"283737";"";"Terminal Block";"";"";"";"Side Wire Entry";"";"";
"2";"ACSA03-41";"ACSA03-41SRWA-F01";"ACSA0341SRWAF01";"DISPLAY1, DISPLAY2";"Single Digit Numeric Display - 7-SEG, (0.2”, 0.3, 0.4, 0.8”) Character size, RED 10SMD";"";"Display";"RED";"COMMON ANODE";"";"";"";"";"";"Single";"0.3inch";"";"Kingbright";"";"";"ACSA03-41SRWA-F01";"";"-40°C To +85°C";"";"ACTIVE";"";"";"";"COMPLIANT";"-";"";"";"LED";"";"";"7-Segment";"ACSA03-41";"";
"1";"DISPLAY240X240IPSTFT";"DISPLAY240X240IPSTFT";"TFT";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FRANZININHO-WIFI";"FRANZININHO-WIFI";"FRANZININHO";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LL4148";"DIODE_LL4148_SOD-80";"DIOMELF3516";"D1";"Diode Rectifier - Popular parts";"";"Diode";"";"";"";"";"DIODE GEN PURP 100V 200MA SOD80 ";"";"";"";"";"";"ON Semiconductor ";"";"";"";"";"";"";"";"";"";"";"";"";"Rectifier";"";"";"";"";"";"LL4148";"";
"1";"MINI-PROTOBOARD";"MINI-PROTOBOARD";"MINI-PROTOBOARD";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
